sepal length,sepal width,petal length,petal width,label,given_label,predicted_label,suggested_label,self_confidence,alternative_prob,quality_score,is_label_issue,rank
5.2,3.8,1.5,0.3,Iris-setosa,Iris-setosa,Iris-setosa,Iris-setosa,0.9996608190468552,0.0003391809531448528,0.9996608190468552,False,3000
5.3,4.1,1.5,0.1,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9947199893063994,0.00514565954826409,0.9947199893063994,False,3000
4.8,3.1,1.5,0.2,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.980252660260997,0.014083028011674017,0.980252660260997,False,3000
5.2,3.7,1.5,0.2,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9752574660466086,0.023649706555304153,0.9752574660466086,False,3000
4.9,3.0,1.5,0.3,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.6819194027319695,0.3158031163717772,0.6819194027319695,False,3000
5.1,3.7,1.5,0.4,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9844434159031723,0.010668389577304035,0.9844434159031723,False,3000
5.2,3.7,1.5,0.3,Iris-setosa,Iris-versicolor,Iris-versicolor,Iris-versicolor,0.9852139311114277,0.014443817020024565,0.9852139311114277,False,3000
5.4,3.4,1.6,0.2,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.9975863235862464,0.0024135743191073065,0.9975863235862464,False,3000
4.9,3.1,1.5,0.1,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.9991978271213556,0.0008021659558754055,0.9991978271213556,False,3000
5.2,3.7,1.5,0.3,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.9995385178793766,0.00046147893884317294,0.9995385178793766,False,3000
5.0,3.3,1.5,0.2,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.9997302785885901,0.00026968351329846883,0.9997302785885901,False,3000
5.0,3.4,1.5,0.2,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.9997227582242416,0.00027724008909567284,0.9997227582242416,False,3000
5.4,3.9,1.5,0.4,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.981458178917756,0.018541361192793517,0.981458178917756,False,3000
4.8,3.1,1.5,0.2,Iris-setosa,Iris-virginica,Iris-virginica,Iris-virginica,0.998335172931952,0.001664716451261345,0.998335172931952,False,3000
